recordingRef,stemCount,controlBytes,p0riceBytes,p0ransBytes,p3riceBytes,p3ransBytes
r1,8,90604822,90782013,89944958,90682180,89800305
r2,8,68302183,68421138,67759412,68017721,67340617
r3,6,106716345,106870109,106402470,106537690,106102468
r4,8,159792315,160043538,159289724,159201389,158530281
