identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p3riceBytes,p3riceSha256,p3ransBytes,p3ransSha256
sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,r1,drums,16024424,16045642,60753d47f423d4674372178f9e516822764791340374bf7b6a106b81af9ef2dd,15970142,0b122df1e8472a6219e432f72b7e52de6ba744d9950ea4f2c448f9cf72aab931,15958772,0cdcdbe6aa120b403111dba1a041f469abc559bb103eedad9db388335dbe2b4c,15891924,46c59f4697a8821b3b3416a9d62c3f374c2008183dea034634de3588b837fe84
sha256:18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,r4,drums,24867112,24901645,f47a8cd77e50e106675e88df1aaa319d3220c1772a2dc8d149c835caabd1c26d,24802207,c70685fb347cdac3ba405e85f5adc36524f1672b48fc508b5e0fd3f7c6ac1875,24795279,2aa24cf96794af3db41f1ef020ee24b6aca8b3a2fca734940ec99d0a85c9fe0f,24698796,f74fc330f97c99ec71559bcadbafe5ab982ad05bae656702c824a6763340e333
sha256:1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,r2,chorus-vox,8069025,8079374,f2debcacc15533d7bd1749b18b375beeef5c6c1fedaee2a355a6b85412ffe4a9,8031552,b3a82e9d9c4084328285d6099b612b37d4e3492dda9047c8fc4905f157ace7ef,8060862,6a6add0a65e3a3606d60eb5cab51e7e3eed9e065c0cf7f6d12ee41fa50e34e01,8007095,0e405bf65f07d4805602c8019291c8ffdaf64c15dced1b3dc299604bbcf854c8
sha256:2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,r3,fx,14062853,14081643,723f4cd47812f3f1b6c5fbd871787abed6344c35230b451cfa5a38a4d41a1f96,14025226,87568a1cb4752e0e899ea4e1613add5f8f441ee755f2221a26fd57f3ee457996,14026474,f2f55153dc0b4fe69d30e6afd8e0462fd21e2db2f60b34568cf6cbf1c50b12ae,13970055,0941370a5c350aa6bb6d1813dde236e0a8572b86d8dd150aac3e7082b69aaffd
sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,r1,lead-vox,19474057,19499500,47c00a26c424990ecddeab42af4f4fab4ccd54d527dd18881e5e41d28166613d,19449459,90a88f0b776f22354e5e3754b64383568d119e0d93e6d607e133c874382123aa,19377746,191dfecc94d6b6debe5eabfa64c91dc937d0b866b3127a65a0831cc5cb72a0c9,19326927,b9bffa7edb0d8be426ab3151b896e5dc3f8578c6a34e4070049efaf4e2dfae99
sha256:2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,r2,fx,11363291,11386981,98e4e787787964baf177879fb475569af710253aa26932c3babf72fbc1bf80c0,11159266,8cdb47c38eba6a4c3cfcc3a1c402c6d4b8159c3692d016ee068a1a0b7a755d8a,11386818,400a0176b32791df0838ce0be0c5731e1f548d35ff111bdd4dc5915354401c43,11186550,fd48a74455a81df8ee5dbccb73be2a4dd7ae1c98c2d20aab9d35896288b72f93
sha256:2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,r3,bass,8200751,8219670,de4632db9b32640f397ca25bc5f34e4c987773bff34adee533ce85b24580fb78,8180199,29daa82bf9770923c3f257f6e4da977af43378c40d659d23d0fb45debb09106e,8162637,455cfc7348dae7bbdc838c66d8129784e3a9e6074ed8ac4ea3a7c62174d7e53b,8123588,2482ad5b57d8a3a1df5f658b7ebd8eedfc6502982fddc3074c653b9a323acc08
sha256:361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,r1,vocal-fx,3745209,3767232,4df7592f5171fdb0b682fe34b192e4dcd1cf795d2fb9e5e65d3b14e6fdce4d4c,3509749,47dcd1d522e24e58dedcaeae2782fc2db9e33770562999917a90c7a4a1632085,4039783,275fe79acedcefdeeedfb9eda0407d57331bfc743f129388a7d4cab1bd0b2697,3692021,80bbc812358062ee4cdb4218f11e5289800b3a6c70f30651d9b28a34592ee978
sha256:3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,r3,drums,12241425,12264213,17459d5d377445274c24b8fb77cf6ad5ae6cda57cb2e5fd7f617fd5b042c3d24,12163417,ab03e7a021584bbd723b9da2498ae0dbc1ba455c8f652a6d37fa49cfd56ae2b2,12132595,4f7681ab542e27d30613c9b07ef72838e0c77908c19aeec2cac71099913eb16c,12064158,234520be855e2f5911c31249511a820012d52538cac672982dac1068d67818fe
sha256:43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,r2,intro,6429359,6437201,faf095e524f93aec5917a52953b800cb1c220cfd5004e59aac87c7325786d92b,6426719,0e4dcb5fb91fd54b9ddf919dc3db745ff7db361ef06ec6d5b485408cd343b645,6399636,a5bc2ee8549b1763557eb175b441127a9403bcca5d950db83601070808c72153,6389994,dbcc51dad7415606cbc25c23eee194cfa54c93e9581a1e8955b678e08ad53b13
