identity,recordingRef,source,controlBytes,activePcmBytes,rsdBytes,rsdSha256,canonicalPcmSha256,riceBytes,riceSha256,riceAuditSha256,ransBytes,ransSha256,ransAuditSha256
sha256:68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,r4,synth,26424410,50994552,68427712,8c0fca8b5b5facc18631333fe6e2726e6b3418a35173570a6f68115afe4fdc4b,68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,26458594,619c1b3ff6642ad8b55b4b759dd68621c8ca70746cc518caea75dbeca1c8b71d,e0ee4bf0a3696e1be95143d1732808a98123b59c0004ef3316280efa62ff85be,26367729,d66f2d3f02618f099fd7202852a90722e17384b6bce70bb51fa3bc3e09d7fcbd,e0ee4bf0a3696e1be95143d1732808a98123b59c0004ef3316280efa62ff85be
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,29314446,39251387,672471d636c36cd7ea355861028188ec095d097fa888a210ab7a8bfd752ec3a6,8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,11265871,21cb19a3575dae29efff46b7aa00301508a15ae9c9376d2a324ffe9215308c45,f909da654e05b2c39de0efb0d85fa5330c603d42724d277d318c8b40efd3f8ff,11124805,910525693fd487dcc8d95a7b290c6007511eb05a59fc16545f7a63ca56ad66e1,f909da654e05b2c39de0efb0d85fa5330c603d42724d277d318c8b40efd3f8ff
sha256:ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,r1,bass,3843271,25258248,21466741,023325e095994f344cbd4e3d6cd89e40365ae0ec763ca4cfff377034f4547877,ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,3854026,52bb9ea1f41f3fddc64206aec2cdadfae06f35d557d4a3dc44ec32662339a630,1c1ae57c06efd729608d9400b4f442ce85ca79e11f3f4ec5be7a9c92db1f2055,3773850,427c83514cedcdedb79e55b4c0a5bca932dd40da5affb8f412f98e608fac8409,1c1ae57c06efd729608d9400b4f442ce85ca79e11f3f4ec5be7a9c92db1f2055
sha256:fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,r3,lead-vox,24119598,40238736,53944189,2ba2f76d1579f5066ac62f9e53bcd4fae569f353650ae276f85cd6643917a72d,fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,24146278,86f405f70138802c97cc026cc1bbc013447172b369a9e0dd559c4720cb6087cb,217ab38fe769f9e7ba66946cb89db2e16d227c53639def909c3c2ada7212f851,24065699,576b3d809dc7543cb2b70bc0a5e3aa4d38902a665f1186b81529253ae2f9e8e4,217ab38fe769f9e7ba66946cb89db2e16d227c53639def909c3c2ada7212f851
