identity,recordingRef,source,controlBytes,p1riceBytes,p1riceSha256,p1ransBytes,p1ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,r4,synth,26424410,26363940,dc7249ce0b618365094f5d1de4acde838bf5408fdfe9a3544c511293e4f7ee0c,26277553,6f1498120d9d4c3cc13f3c31811401bcfaa9538e25e1b1f28d9273c8b70a6786,26379206,eaccbb840ec9e24c430357949409d411b62411fe806bd9f138fb644e66573b0d,26292550,43f520c2356f6eb958805242a5bc34277464367c81e5a3a1693c5a56017cc82a
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,11071547,28d609768aae18aba009dd91ab0b502b006b55cf25fd5d90dc46ece7363c828d,10943631,373e1009c56107c19825c5a4b8f78ecb401a49ab14ed19bdcb4c427f0c43920c,11072963,fe1a49180e1d4c63f8191ce7cea58c32d9d1a97872b01b581976af7cb2a728e4,10946886,26db4cfb30e75360ebd51d52b17c4c0ebee5e308a506329cbef45ff37222a1b1
sha256:ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,r1,bass,3843271,3815301,07909d2ea04619247651675ce1890b49f98dfbad9451600004eac2092a80e647,3750198,49370a60eb3fdd2337909b6ee6388b42a5b39ff49c67eadc8e94b021b22188d6,3818696,3defcaf7cc4b2a8afcb30def1c155ce00dec694c8ad2af2a0c517ef19a239228,3752291,e6b66e526444fe0a8d458beff2305437e62938faa79c562e0a9b91b2be13005d
sha256:fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,r3,lead-vox,24119598,23999796,28f1d0ace9a95355bb813143c8a03db9215723d77cc0dfaab85e91f7759a4644,23923584,f791f258f9bf325c1a76aabcdb4da77909f7c762f75336dc1fef1db01fa29f41,24002262,b1296bf26ef26add7b02f3db464571bf72da6d7adf96032b26f2174b66425a91,23925730,9fcfda8a9aae9712ca72b4b11f9bf1e0923c521fef2103013c49d7691cfe3a16
