recordingRef,stemCount,controlBytes,p0riceBytes,p0ransBytes,p1riceBytes,p1ransBytes,p2riceBytes,p2ransBytes
r1,8,90604822,90621727,89781007,89986307,89215466,90031276,89256627
r2,8,68302183,68294165,67631442,67651116,67024237,67664349,67038760
r3,6,106716345,106835982,106367856,106127507,105744470,106146778,105760982
r4,8,159792315,160008747,159254633,159133516,158462912,159227601,158555755
