recordingRef,stemCount,controlBytes,manifestBytes,candidateManifestBytes,envelopeHeaderBytes,envelopeBytes,metadataBytes,frameBytes,residualSamples,quotientBits,remainderBits,idealModelBits,tableModelBits,contextModelBits,qTableBytes,contextTableBytes,coderStateBits,nominalPaddingBits
r1,8,90604822,37162,37161,128,37289,3010,90564523,79148375,151303779,564360210,719366675.4630269,719479546.0947104,718335781.5852379,18140,92939,619776,154944
r2,8,68302183,16560,16560,128,16688,2150,68283345,54515894,102582761,437258561,541943025.1647054,542030506.0514725,541273970.188648,19580,100376,426912,106728
r3,6,106716345,10635,10635,96,10731,2494,106703120,69849622,138084973,706971491,851341699.110545,851443142.5261724,850119563.9934855,17592,90156,547072,136768
r4,8,159792315,13859,13859,128,13987,4128,159774200,115610198,230600600,1035602892,1273355523.4470284,1273529832.8768609,1272610950.11573,18392,94197,905024,226256
