recordingRef,stemCount,controlBytes,p0riceBytes,p0ransBytes,p1riceBytes,p1ransBytes,p2riceBytes,p2ransBytes
r1,1,3843271,3859608,3780923,3859586,3780893,3859608,3780923
r2,1,11246494,11267303,11126630,11228484,11084627,11213626,11072975
r3,1,24119598,24146617,24066417,24146012,24066016,24146386,24066240
r4,1,26424410,26459978,26369752,26454722,26364566,26453117,26363033
