identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:75e819632163ccc65f63fde122cea33b199b559c931ebf68b14b5f8c72520629,r4,fx,11494688,11515554,a846b8837e60576c486c09befd9b122e7db1cc57ed70d9553bceeeaf4e6cec28,11391081,a6d7eeb51a32115e792e0c34911f9865064ea42de62c50be024fcff94c446b0b,11504179,8156612beb4aee8c7403423ea0514a0e97e5966848a8bff5203e0c31e541fac2,11379343,a22c2e9c3cdc6bb419edad367b269b6b0ffb4d0610db163a21e8cdf93bdc3105
sha256:76f8d36d4b2b6ed2efc19418250feaac1fe1868fd919c4c03a6e6f66e3e3f926,r4,outro-fx,7063303,7071184,76d067abc15b8e33168b758cb5487335b13c0f05adc5bae111a5c72247d3b7e1,7060659,73166bdb0fba1a7da16309270c8ffbc5e9cbe413c13a2b308545e662de19df7e,7066841,4f4371ca21b6ec2668b27dd35b9f8e559a57ba9007ac5d82c75d0209b91fac8f,7056193,e4d609d045e24aa69b906295203c82f5bd20e2dc8e77639b8e3a2f2acdd38e66
sha256:820926ccc8557b4cdf81d0c19933f1115dc371d5b53e46ddedb2a87bf4e4e197,r2,synth,7655654,7668050,63e71cdfd85b3c123e8f920e0b88a805f052fb00e6eb7fc10e736d99c763f24c,7621712,2af42dcadbae9dfa9d921d1ee9223f6b82d7b28ccd606e4c54368053c107c0be,7667856,56233fc128606c0b3574e57037eeb9995fb787a27c7f225a4c189e8f1c91ff53,7621535,f7aeef8059bd36a76ddaec62b441465e5f9b6a248e21377f806540a3b522aa73
sha256:83cc4bfabbda2bb1b0b9fda8bfc7307d190844be9e01cd8ed53b2b904369b147,r3,bv_s,26777376,26809090,e32f9f8f96176552feec1a9aa67f75055ad994459f24af480310d401b02baadc,26721971,65266a2942ef2139f9174c5b9398b2ac8edc5def64fd13db6140481cc2b656ac,26804451,68ef7d782724dab153dd671a585f97d44f8ae3958bb0e312547ffa571695760b,26717160,1a97bb9e86d5f63105d55be87ef3e875c5928175f6af13094a750b5a78d77c3f
sha256:8b374c1219541d61371b2eacf78d1ddd01acf4e9e7422b369044f7c1df5475e1,r4,vocal-fx,21883180,21919842,167c3255dea379de288f1fee32aa251cd9cb8ca9e9b8d1b3ea8f259f01e563c4,21804170,f45f6383ab032fce095c2507834448ed7d04dc0a253f70f2aa6922ab5647dcca,21919431,30dd9d7f686278cd20376e9c2c4246bca5b34d8ef7b541493fc8388a91f3bdeb,21803921,2a6eb602bca48acd2eaec08e97728e3d80acdaec6750e37dedf1cdd2a12fcd3d
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,11267303,d1b05f83ecda997cfadafb10edf515574090e3c0227f5d220f376234b2597462,11126630,3f61dfc3cbefe4601debf9e333d26e69db6929e243096be0f80a21765f31d139,11213626,0b316b90eaedd4d9f2a40c17298ff9fdf685c0fc10cb2f0cc0de80d8739c656e,11072975,30444236504ceb0a92b7343e83a0bd82d2f276744a6442fb59f08ed943d08a7b
sha256:9184f49ee35fa748ecf4d898eb06058d2f499b8348b80736c5c252a99fe36b98,r1,fx,8613366,8632252,19509500e9179a47b5264a9466c735c2fb79a497cc2f3e3a5f9d841c41bfe783,8431624,8ec358a7565f3e693ca0713926e90b3cc1f5e27148289b2b388b134a37cf8673,8595747,cc62bd848f8fe243ad76f3f28b1e106ececcd225be76782845dff00e3d0bf548,8393125,085b18ae05dfe53fdf6f31282d84a2ba6d1d0ac03b5b680664a420c7d2067501
sha256:9a57207ac802bad426435d920b77048ba9dd391797c6a462444c6e375716d36f,r1,synth-6,8351286,8371655,d68a9a97ac50ebba21dd3b2b4a36342f11a359f5ed9f523e9451826483f5c720,8320923,68ed347a0d58dd537ed705917870f1c0efbdf9b2c2141174bd9509c07cece5da,8357244,ab8ff1c96362c91b991a85ff66afeb22703be66d43afdc0ff6c3c7038145c3eb,8306242,d4d63fc13a5e1de05555e5e73660881ff72867d5924300de0521d9912ded6b79
sha256:b613c11eea1c43c0a0fed317bea191d09146b818c4fe8e7a781cec1061b781f1,r2,vocal-fx,4220317,4227257,e19c86d6602998229f0fe4fefe3624de744db9e0ee4b6627cc4a66a1fd44cf84,4163034,13e0370caaa6b91c54b92783081580f407f238473e6118605b3eaed6141a0a8e,4207353,f65e4fbd57e7768634c84dd4f739192b26f4142caf66634f2eb473d14c194d1f,4142907,4c54583eca99705a161b1a974a278dee11356bb1b0b2a4ca464e24c3965276f1
sha256:ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,r1,bass,3843271,3859608,55a70e2b444feb252bf560ff6ed700d627777b8d13e27ad6adf98b051f5209ce,3780923,bd88bc7d5a0e3e2fdca3abbec3211c8adeab7a17cc6c389563cedbea3a0bc9c7,3859608,353b950c701b636b955e765a8d71bfeda1a945b509fe141145dd8bcbe39ef797,3780923,ffdde784dc218949cf7056587ce17e09ed7e4a50e3fbb48087640d41484f10ee
sha256:c48e9a6b5621bb213de9d6c0c016c557a4516ba0e02de06deb1141fe7946332f,r1,bv_s,22073511,22099983,07ec33f79a5cfe8c8ecff9c3d94cec89e1db6fb9904d7a1cfb486394be1a4e62,22056350,0019ee58a9907934be72b3c80eb3b3fe8f78b28216ff6a823ca1d2300e278f96,22045287,db47325bcbea5afddd48931822550127ff1f62d02925fa3737773d2877bc6d00,22001216,7f855bd54b763f8397d957e74553a508e3a6af285e6f4c9de5f5c8351054f33b
sha256:d2a9ac32d38219a1dbe387f10ae417abb86101f4366683d2e68270ca1b8b5224,r3,synth-2,21314342,21348876,a88cdb9d6ff9f5cc16d49c368a948995d9a7317e15b1cbfdf107d3b1c480392c,21245240,1211d80f12e64ff18c7e8faa381772f70fec0674d14e7184077e5ce8f687ed2d,21336225,2b422aec74a352caaaf808d3df01832f212d3b227c988f1baa53b24047c20089,21232636,f297f46d2322119406bb609a63ddecd14ce8db1bb30a7d399592fcce519ea9ba
sha256:d60d7992ce0ac81666b6e13b3ae7064ab5c1aad701a026619d78cfb725386d4d,r2,bass,12186685,12215483,b4a2303b88ad07f50fa711e30c4fe5e543697a7e51a45e82eeda5a5a33e13cf1,12126164,0686c192bf6ec364e8478de8bb5f16d57a2d7a04339e2580910a0cf96cb144b7,12203354,bf9e1255b9dc16918788f31efb38c9b15cfc2fdbf869ae65198be00fc6311f7b,12114025,1c9516ceea7f7cc2b22e504c8d3095757b75c57e7d78e57f6895b759a73384f9
sha256:dbb6eda6ecc56c418428f6b41d0b4872948d5be58e6089ecacb538b188dd7a74,r2,verse-vox,7131358,7139489,4089d378678229ca396da4da9a4f4b8113a81f95338b245fbc63da79f44b9ee3,7104335,60e74317568dda8e8c72b28422066721295b7a14efbd505c00fae4d3c8bab230,7136701,26cbcd351d7124dbdeee04bf869a40d5838d2558859c8ad09a8c17f30829f338,7101619,f071557feca88a3e0ad143f3f79820e42b1ad18975284c72680228c2307563da
sha256:e5c44270be4bd0862850977ef3d8a06f1b3803d75c276bb243139bae1f56db62,r1,guitar,8479698,8506141,b812d073b8f47fa6e864827e772e9e2787d3f6f3f92377a0b2de7d55cab4a1f0,8425788,c3c0981b02dd5397fe06e75613900b45dc324182b37651378a80e384a252e0fd,8506129,90eaffd32e530238b80fc2254b530c4612d4c0c7698fa24df03122455b7a3fe4,8425783,804e598413b5510f546fe72885bf608f4748f977538958f6e10bbd97f45256d3
sha256:f797073413ecf7782ec9e767bb4645034e8293b52c86cd888c920b33427c0d59,r4,bass,19214627,19257954,dde27426389134580dabc3b0d32158af0f448023c943a2574b29548a3cf73b4f,19131896,db1c4dc4edd52451f4806fb6b3c5e3028c528f9fd9e60d277647d61e1fa50ea1,19251615,cdccd3ff82786130dd65b2fa46a7a18bb2ada47c6eb22a34a3ce23197fba8228,19125072,3d49ac3b55f1e8e23b2ce0a3236c3f2bb3a256444cab49da278d61bb61262458
sha256:fc78916013c03b9827b97fe5d422b260b2926d7bd7159c9b8c967e2a49edeef3,r4,lead-vox,26684233,26721381,466546c19d1ecfe84d9bd34f353a9fe1b6b3622f7bf74a59b3026933a8192e26,26641863,51a855a6cfa211c42f4c0af6fe83c3caddac8526e8be7c8b8e811665a73a796c,26721183,e2e40190fb90045e5479711115381638132061cb4c6e7febe4001546c9c1b83f,26641690,f04f746e98bf7b1f82a69d6494f7bc039659d4cc4848d64bd55366bd08df2616
sha256:fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,r3,lead-vox,24119598,24146617,d17e8e5c8e41e03bee97c5c59be739f316a3f3c6b3eb489dd51f2e5335d8c260,24066417,20c091dd9cc215bc9568a1dc24d0b5362b93332d87bbb8d83a7ab90e806698c9,24146386,6ea51f833ada5f58f01fe75871b3463e54b3860e74ce865d64fc416725ca8232,24066240,682dfddbcd8c307bce22f4e9acbd7cb2510ca750df25ada6dc7509dcb025db08
