identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p1riceBytes,p1riceSha256,p1ransBytes,p1ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,r4,synth,26424410,26459978,cad56009bde0b844decc58d0288068c5dbf3b836424cb4543652bfd34d52bccb,26369752,b3acc65d00112a858522a5291f50bcb44ea546606f0692176b8ec39ef5260649,26454722,881b78d55c329e58febffcd19768d8b9282fb374783b12311903addbc286cf5b,26364566,937460c983f839184ac34ea0de8468a8f4c20c5d7ca7850588784974d62ed6e3,26453117,cf7721c0500e9d5480ca799b7d8c5fcfc9fdbb9d26df754f713cadd2cab3aa33,26363033,ff045ac3d508c4661381fe2326b5732726ecb063c54e3ed79f17ef97a8a9e388
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,11267303,d1b05f83ecda997cfadafb10edf515574090e3c0227f5d220f376234b2597462,11126630,3f61dfc3cbefe4601debf9e333d26e69db6929e243096be0f80a21765f31d139,11228484,ef57f1aa76b13d94b4345dd39b6493801f5d284a7ef9e7d09f73e2f14682f6c2,11084627,24faa035bb8cc3ed7974293fc8c3bd6040a27f53d58f92f073ec7a1f154f2b22,11213626,0b316b90eaedd4d9f2a40c17298ff9fdf685c0fc10cb2f0cc0de80d8739c656e,11072975,30444236504ceb0a92b7343e83a0bd82d2f276744a6442fb59f08ed943d08a7b
sha256:ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,r1,bass,3843271,3859608,55a70e2b444feb252bf560ff6ed700d627777b8d13e27ad6adf98b051f5209ce,3780923,bd88bc7d5a0e3e2fdca3abbec3211c8adeab7a17cc6c389563cedbea3a0bc9c7,3859586,49834bfe189d01bc1cc34bea8027edbbaa86790b7230283a39d531ea81a4fb62,3780893,01d31132b82e844861ca46a900cf3d4e49ecc3f5a575bc784b8fe0c39d95e02f,3859608,353b950c701b636b955e765a8d71bfeda1a945b509fe141145dd8bcbe39ef797,3780923,ffdde784dc218949cf7056587ce17e09ed7e4a50e3fbb48087640d41484f10ee
sha256:fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,r3,lead-vox,24119598,24146617,d17e8e5c8e41e03bee97c5c59be739f316a3f3c6b3eb489dd51f2e5335d8c260,24066417,20c091dd9cc215bc9568a1dc24d0b5362b93332d87bbb8d83a7ab90e806698c9,24146012,cb1b627dcd9ff5b8a7a7c021f6e9227fd7c9d08850c165f455cdcd2c8174cda5,24066016,f9af66f9e3e24041ac52ad96cd2301784114fe8025640bcd20e771fb6253c07d,24146386,6ea51f833ada5f58f01fe75871b3463e54b3860e74ce865d64fc416725ca8232,24066240,682dfddbcd8c307bce22f4e9acbd7cb2510ca750df25ada6dc7509dcb025db08
