recordingRef,stemCount,controlBytes,p0riceBytes,p0ransBytes,p2riceBytes,p2ransBytes
r1,8,90604822,90782013,89944958,90621727,89781007
r2,8,68302183,68421138,67759412,68294165,67631442
r3,6,106716345,106870109,106402470,106835982,106367856
r4,8,159792315,160043538,159289724,160008747,159254633
